n04981658,ring,a characteristic sound," ""it has the ring of sincerity"".",,,,
n03773035,mirror,polished surface that forms images by reflecting light.,,,,,
n04197391,shirt,a garment worn on the upper half of the body.,,,,,
n02945813,"camp, refugee camp",shelter for persons displaced by war or political oppression or for religious beliefs.,,,,,
n04236377,"sleeve, arm",the part of a garment that is attached at the armhole and that provides a cloth covering for the arm.,,,,,
n03224893,"dormitory, dorm, residence hall, hall, student residence",a college or university building containing living quarters for students.,,,,,
n07841037,"egg white, white, albumen, ovalbumin",the white part of an egg, the nutritive and protective gelatinous substance surrounding the yolk consisting mainly of albumin dissolved in water," ""she separated the whites from the yolks of several eggs"".",,,
n02858304,boat,a small vessel for travel on water.,,,,,
n02670683,"accelerator, accelerator pedal, gas pedal, gas, throttle, gun",a pedal that controls the throttle valve," ""he stepped on the gas"".",,,,
n03759954,"microphone, mike",has bow device for converting sound waves into electrical energy.,,,,,
n09376198,ocean,a large body of water constituting a principal part of the hydrosphere.,,,,,
n03116530,counter,table consisting of a horizontal surface over which business is transacted.,,,,,
n04027023,"push button, push, button",an electrical switch operated by pressing," ""the elevator was operated by push buttons"""," ""the push beside the bed operated a buzzer at the desk"".",,,
n03358172,"flash, photoflash, flash lamp, flashgun, flashbulb, flash bulb",has bow a lamp for providing momentary light to take a photograph.,,,,,
n03728437,"match, lucifer, friction match",lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical, ignites with friction," ""he always carries matches to light his pipe"""," ""as long you've a lucifer to light your fag"".",,
n03735637,"measuring stick, measure, measuring rod",measuring instrument having a sequence of marks at regular intervals, used as a reference in making measurements.,,,,
n11669921,flower,a plant cultivated for its blooms or blossoms.,,,,,
n04081281,"restaurant, eating house, eating place, eatery",has bow a building where people go to eat.,,,,,
n10734394,twin,either of two offspring born at the same time from the same pregnancy.,,,,,
n09265620,"descent, declivity, fall, decline, declination, declension, downslope",a downward slope or bend.,,,,,
n04018399,"public house, pub, saloon, pothouse, gin mill, taphouse",tavern consisting of a building with a bar and public rooms, often provides light meals.,,,,
n03619396,"kit, outfit",gear consisting of a set of articles or tools for a specified purpose.,,,,,
n02980441,castle,has bow a large building formerly occupied by a ruler and fortified against attack.,,,,,
n09428293,"seashore, coast, seacoast, sea-coast",has bow the shore of a sea or ocean.,,,,,
n02742753,arrow,a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other, intended to be shot from a bow.,,,,
n02190166,fly,has bow two-winged insects characterized by active flight.,,,,,
n10366966,nurse,one skilled in caring for young children or the sick (usually under the supervision of a physician).,,,,,
n07680932,"bun, roll",small rounded bread either plain or sweet.,,,,,
n03467984,gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel).,,,,,
n13125117,root,(botany) the usually underground organ that lacks buds or leaves or nodes, absorbs water and mineral salts, usually it anchors the plant to the ground.,,,
n02807731,"bathroom, bath",a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet.,,,,,
n03595614,"jersey, T-shirt, tee shirt",has bow a close-fitting pullover shirt.,,,,,
n13650447,"yard, pace",a unit of length equal to 3 feet, defined as 91.44 centimeters, originally taken to be the average length of a stride.,,,
n03993703,"pound, dog pound",a public enclosure for stray or unlicensed dogs," ""unlicensed dogs will be taken to the pound"".",,,,
n07881800,"beverage, drink, drinkable, potable",any liquid suitable for drinking," ""may I take your beverage order?"".",,,,
n06281040,reception,quality or fidelity of a received broadcast.,,,,,
n07578093,"banquet, feast, spread",a meal that is well prepared and greatly enjoyed," ""a banquet for the graduating seniors"""," ""the Thanksgiving feast"""," ""they put out quite a spread"".",,
n04188179,"sheet, bed sheet",bed linen consisting of a large rectangular piece of cotton or linen cloth, used in pairs.,,,,
n03339643,filter,device that removes something from whatever passes through it.,,,,,
n02728440,"apparel, wearing apparel, dress, clothes",clothing in general," ""she was refined in her choice of apparel"""," ""he always bought his clothes at the same store"""," ""fastidious about his dress"".",,
n07747607,orange,has bow round yellow to orange fruit of any of several citrus trees.,,,,,
n02131653,bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws.,,,,,
n04965179,"orange, orangeness",orange color or pigment, any of a range of colors between red and yellow.,,,,
n07840804,"egg, eggs",oval reproductive body of a fowl (especially a hen) used as food.,,,,,
n03431243,"gear, gear mechanism",a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle).,,,,,
n00480993,"basketball, basketball game, hoops",a game played on a court by two opposing teams of 5 players, points are scored by throwing the ball through an elevated horizontal hoop.,,,,
n02878222,"bottom, freighter, merchantman, merchant ship",a cargo ship," ""they did much of their overseas trade in foreign bottoms"".",,,,
n02774152,"bag, handbag, pocketbook, purse",a container used for carrying money and small personal items or accessories (especially by women)," ""she reached into her bag and found a comb"".",,,,
n10763383,"waiter, server",a person whose occupation is to serve at table (as in a restaurant).,,,,,
n10622053,soldier,an enlisted man or woman who serves in an army," ""the soldiers stood at attention"".",,,,
n02827606,belt,a band to tie or buckle around the body (usually at the waist).,,,,,
n01318894,pet,a domesticated animal kept for companionship or amusement.,,,,,
n04052442,"ranch, spread, cattle ranch, cattle farm",farm consisting of a large tract of land along with facilities needed to raise livestock (especially cattle).,,,,,
n02876657,bottle,a glass or plastic vessel used for storing drinks or other liquids, typically cylindrical without handles and with a narrow neck that can be plugged or capped.,,,,
n02788021,"banner, streamer",long strip of cloth or paper used for decoration or advertising.,,,,,
n02330245,mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails.,,,,,
n00471613,"baseball, baseball game",a ball game played with a bat and ball between two teams of nine players, teams take turns at bat trying to score runs," ""he played baseball in high school"""," ""there was a baseball game on every empty lot"""," ""there was a desire for National League ball in the area"""," ""play ball!""."
n02121620,"cat, true cat",feline mammal usually having thick soft fur and no ability to roar, domestic cats, wildcats.,,,
n02954938,cap,a top (as for a bottle).,,,,,
n02897820,brick,has bow rectangular block of clay baked by the sun or in a kiln, used as a building or paving material.,,,,
